9.08	8.13	37.51
16.25	19.72	27.05
12.38	10.79	10.21
9.56	7.21	4.34
12.19	10.48	12.39
10.84	8.37	5.51
10.66	6.42	4.99
9.53	6.4	10.33
9.9	7.07	9.74
11.74	10.27	6.49
14.65	13.56	8.78
15.93	17.08	5.78
14.13	16.76	16.63
12.75	18.9	146.56
11.02	10.37	13.45
11.11	8.59	9.17
9.53	8.24	27.78
9.87	7.03	7.65
11.03	7.46	13.26
12.23	14.52	119.14
9.56	7.01	25.63
7.42	9.92	101.31
9.94	7.19	10.89
15.77	17.31	11.14
14.79	15.11	17.59
14.08	15.31	17.88
9.12	7.4	10.38
9.63	7.13	5.74
11.27	23.49	73.48
10.34	8.7	11.6
10.4	7.83	13.4
11.7	16.74	125.72
11.84	8.97	4.45
11.66	8.27	6.31
8.88	5.73	3.62
9.62	7.5	18.5
11.47	10.49	4.11
13.67	11.58	10.82
13.55	9.4	6.22
9.8	9.56	37.49
9.57	7.71	7.99
11.34	10.56	9.55
11.17	9.65	17.71
10.22	7.75	18.18
10.37	9.94	10.65
11.58	8.12	2.27
11.56	10.97	9.09
14.25	13.74	11.77
13.86	12.04	13.28
14.17	9.9	6.81
10.06	10.57	96.1
9.37	5.65	4.04
9.3	5.55	6.1
8.31	8.15	12.23
12.6	11.11	9.5
9.49	8.15	9.03
8.61	7.46	11.26
8.22	6.63	9.69
9.74	6.76	20.01
8.72	7.66	13.55
15.24	15.67	18.97
16.94	17.0	18.96
9.61	7.79	9.39
9.8	10.36	12.15
11.11	11.12	67.37
9.22	7.61	10.08
12.99	13.17	13.71
10.99	7.87	11.67
9.0	8.37	9.55
9.91	9.87	21.17
12.95	12.66	9.59
10.61	12.35	56.99
16.97	19.89	20.62
15.86	15.38	16.89
11.66	10.55	10.2
11.09	11.23	72.12
10.58	8.12	13.79
9.72	8.21	4.5
11.47	13.46	99.48
11.02	11.5	27.1
9.77	8.81	62.28
11.15	7.73	7.05
10.72	7.5	9.1
9.2	6.29	19.59
9.91	6.83	4.02
12.99	11.71	18.22
10.87	8.56	13.82
9.2	7.21	6.49
8.9	7.5	11.03
9.41	7.3	5.14
9.49	6.89	12.04
8.85	7.05	9.01
13.88	15.47	29.22
14.33	12.28	8.13
11.22	8.85	6.29
10.77	8.45	3.78
13.31	12.49	17.25
11.78	7.89	9.86
9.78	8.55	8.48
13.21	10.88	4.18
8.94	7.11	10.18
14.24	42.98	177.67
10.31	8.17	7.43
9.0	7.61	6.29
9.16	8.11	9.06
9.31	6.8	5.91
10.63	7.8	14.93
16.85	17.47	18.92
10.84	6.53	6.3
21.36	20.75	18.98
9.88	8.43	8.81
9.47	6.51	8.48
11.82	6.89	9.83
10.34	6.93	2.46
10.48	8.35	7.58
9.79	7.99	9.34
14.49	8.06	11.83
10.01	8.84	6.77
9.47	8.02	9.28
14.44	18.11	108.43
9.45	8.98	8.77
11.08	6.73	6.0
10.52	7.05	10.2
10.6	8.08	7.87
11.68	7.98	8.45
10.29	8.7	6.68
10.27	7.58	7.49
8.22	6.87	5.09
10.03	6.9	7.13
10.24	8.46	8.19
11.31	7.27	11.61
15.49	15.19	10.07
9.55	6.66	7.25
11.76	6.93	3.62
11.13	7.94	10.93
15.15	14.19	23.38
10.11	6.24	5.58
9.76	7.71	10.66
12.84	12.84	12.84
7.61	5.95	5.29
9.25	5.94	4.03
12.23	16.2	27.55
10.22	8.19	7.51
15.33	16.19	19.63
11.38	9.48	13.13
23.05	17.62	13.6
15.33	12.04	22.53
9.5	8.14	12.38
12.34	9.17	13.41
12.18	10.47	19.15
10.56	8.42	7.68
11.29	6.59	6.79
10.47	7.68	7.52
